Source	Mo
Tension (kV)	40
Current (uA)	500
4.042	3.000
4.046	0.000
4.049	2.000
4.052	4.000
4.055	3.000
4.058	4.000
4.062	4.000
4.065	0.000
4.068	5.000
4.071	0.000
4.074	3.000
4.078	2.000
4.081	1.000
4.084	2.000
4.087	3.000
4.090	2.000
4.094	3.000
4.097	2.000
4.100	2.000
4.103	5.000
4.107	4.000
4.110	3.000
4.113	3.000
4.116	5.000
4.119	1.000
4.123	2.000
4.126	3.000
4.129	2.000
4.132	1.000
4.135	0.000
4.139	1.000
4.142	2.000
4.145	4.000
4.148	4.000
4.151	1.000
4.155	6.000
4.158	2.000
4.161	1.000
4.164	4.000
4.168	2.000
4.171	2.000
4.174	4.000
4.177	6.000
4.180	2.000
4.184	3.000
4.187	1.000
4.190	1.000
4.193	1.000
4.196	3.000
4.200	4.000
4.203	3.000
4.206	0.000
4.209	6.000
4.212	1.000
4.216	3.000
4.219	3.000
4.222	2.000
4.225	5.000
4.229	2.000
4.232	3.000
4.235	2.000
4.238	0.000
4.241	4.000
4.245	1.000
4.248	4.000
4.251	3.000
4.254	3.000
4.257	2.000
4.261	1.000
4.264	6.000
4.267	5.000
4.270	0.000
4.273	3.000
4.277	5.000
4.280	3.000
4.283	2.000
4.286	1.000
4.290	2.000
4.293	3.000
4.296	2.000
4.299	2.000
4.302	1.000
4.306	3.000
4.309	3.000
4.312	1.000
4.315	2.000
4.318	5.000
4.322	6.000
4.325	2.000
4.328	3.000
4.331	2.000
4.334	3.000
4.338	2.000
4.341	6.000
4.344	3.000
4.347	3.000
4.351	0.000
4.354	2.000
4.357	3.000
4.360	0.000
4.363	1.000
4.367	1.000
4.370	1.000
4.373	6.000
4.376	2.000
4.379	1.000
4.383	5.000
4.386	5.000
4.389	7.000
4.392	5.000
4.396	3.000
4.399	2.000
4.402	5.000
4.405	2.000
4.408	3.000
4.412	2.000
4.415	6.000
4.418	1.000
4.421	1.000
4.424	1.000
4.428	2.000
4.431	2.000
4.434	0.000
4.437	5.000
4.440	4.000
4.444	2.000
4.447	4.000
4.450	3.000
4.453	3.000
4.457	4.000
4.460	2.000
4.463	5.000
4.466	2.000
4.469	4.000
4.473	4.000
4.476	2.000
4.479	2.000
4.482	2.000
4.485	3.000
4.489	6.000
4.492	4.000
4.495	2.000
4.498	4.000
4.501	1.000
4.505	3.000
4.508	3.000
4.511	2.000
4.514	4.000
4.518	1.000
4.521	5.000
4.524	2.000
4.527	0.000
4.530	2.000
4.534	3.000
4.537	2.000
4.540	2.000
4.543	0.000
4.546	4.000
4.550	2.000
4.553	3.000
4.556	7.000
4.559	3.000
4.562	0.000
4.566	4.000
4.569	2.000
4.572	3.000
4.575	6.000
4.579	2.000
4.582	3.000
4.585	3.000
4.588	1.000
4.591	3.000
4.595	2.000
4.598	0.000
4.601	2.000
4.604	3.000
4.607	2.000
4.611	3.000
4.614	3.000
4.617	3.000
4.620	5.000
4.623	2.000
4.627	3.000
4.630	0.000
4.633	3.000
4.636	6.000
4.640	2.000
4.643	3.000
4.646	1.000
4.649	2.000
4.652	4.000
4.656	3.000
4.659	4.000
4.662	3.000
4.665	4.000
4.668	4.000
4.672	5.000
4.675	2.000
4.678	3.000
4.681	3.000
4.684	2.000
4.688	4.000
4.691	0.000
4.694	5.000
4.697	2.000
4.701	3.000
4.704	2.000
4.707	1.000
4.710	2.000
4.713	4.000
4.717	2.000
4.720	0.000
4.723	1.000
4.726	3.000
4.729	2.000
4.733	0.000
4.736	2.000
4.739	6.000
